X,Y,Z
-5.0,0.0,8.0
-4.8979591836734695,-0.10204081632653061,8.0
-4.795918367346939,-0.20408163265306123,8.0
-4.6938775510204085,-0.30612244897959184,8.0
-4.591836734693878,-0.40816326530612246,8.0
-4.489795918367347,-0.5102040816326531,8.0
-4.387755102040816,-0.6122448979591837,8.0
-4.285714285714286,-0.7142857142857143,8.0
-4.183673469387755,-0.8163265306122449,8.0
-4.081632653061225,-0.9183673469387755,8.0
-3.979591836734694,-1.0204081632653061,8.0
-3.877551020408163,-1.1224489795918369,8.0
-3.7755102040816326,-1.2244897959183674,8.0
-3.673469387755102,-1.3265306122448979,8.0
-3.571428571428571,-1.4285714285714286,8.0
-3.4693877551020407,-1.5306122448979593,8.0
-3.36734693877551,-1.6326530612244898,8.0
-3.2653061224489797,-1.7346938775510203,8.0
-3.163265306122449,-1.836734693877551,8.0
-3.061224489795918,-1.9387755102040818,8.0
-2.9591836734693877,-2.0408163265306123,8.0
-2.857142857142857,-2.142857142857143,8.0
-2.7551020408163263,-2.2448979591836737,8.0
-2.6530612244897958,-2.3469387755102042,8.0
-2.5510204081632653,-2.4489795918367347,8.0
-2.4489795918367347,-2.5510204081632653,8.0
-2.3469387755102042,-2.6530612244897958,8.0
-2.2448979591836733,-2.7551020408163267,8.0
-2.142857142857143,-2.857142857142857,8.0
-2.0408163265306123,-2.9591836734693877,8.0
-1.9387755102040813,-3.0612244897959187,8.0
-1.8367346938775508,-3.163265306122449,8.0
-1.7346938775510203,-3.2653061224489797,8.0
-1.6326530612244898,-3.36734693877551,8.0
-1.5306122448979593,-3.4693877551020407,8.0
-1.4285714285714284,-3.5714285714285716,8.0
-1.3265306122448979,-3.673469387755102,8.0
-1.2244897959183674,-3.7755102040816326,8.0
-1.1224489795918364,-3.8775510204081636,8.0
-1.020408163265306,-3.979591836734694,8.0
-0.9183673469387754,-4.081632653061225,8.0
-0.8163265306122449,-4.183673469387755,8.0
-0.7142857142857144,-4.285714285714286,8.0
-0.6122448979591839,-4.387755102040816,8.0
-0.5102040816326525,-4.4897959183673475,8.0
-0.408163265306122,-4.591836734693878,8.0
-0.3061224489795915,-4.6938775510204085,8.0
-0.204081632653061,-4.795918367346939,8.0
-0.1020408163265305,-4.8979591836734695,8.0
0.0,-5.0,8.0
0.0,-5.0,8.0
0.0,-5.0,7.918367346938775
0.0,-5.0,7.836734693877551
0.0,-5.0,7.755102040816326
0.0,-5.0,7.673469387755102
0.0,-5.0,7.591836734693878
0.0,-5.0,7.510204081632653
0.0,-5.0,7.428571428571429
0.0,-5.0,7.346938775510204
0.0,-5.0,7.26530612244898
0.0,-5.0,7.183673469387755
0.0,-5.0,7.1020408163265305
0.0,-5.0,7.020408163265306
0.0,-5.0,6.938775510204081
0.0,-5.0,6.857142857142858
0.0,-5.0,6.775510204081633
0.0,-5.0,6.6938775510204085
0.0,-5.0,6.612244897959184
0.0,-5.0,6.530612244897959
0.0,-5.0,6.448979591836735
0.0,-5.0,6.36734693877551
0.0,-5.0,6.285714285714286
0.0,-5.0,6.204081632653061
0.0,-5.0,6.122448979591837
0.0,-5.0,6.040816326530612
0.0,-5.0,5.959183673469388
0.0,-5.0,5.877551020408164
0.0,-5.0,5.795918367346939
0.0,-5.0,5.714285714285714
0.0,-5.0,5.63265306122449
0.0,-5.0,5.551020408163266
0.0,-5.0,5.469387755102041
0.0,-5.0,5.387755102040817
0.0,-5.0,5.3061224489795915
0.0,-5.0,5.224489795918368
0.0,-5.0,5.142857142857143
0.0,-5.0,5.061224489795919
0.0,-5.0,4.979591836734694
0.0,-5.0,4.8979591836734695
0.0,-5.0,4.816326530612246
0.0,-5.0,4.73469387755102
0.0,-5.0,4.653061224489797
0.0,-5.0,4.571428571428571
0.0,-5.0,4.4897959183673475
0.0,-5.0,4.408163265306123
0.0,-5.0,4.326530612244898
0.0,-5.0,4.244897959183674
0.0,-5.0,4.163265306122449
0.0,-5.0,4.081632653061225
0.0,-5.0,4.0
0.0,-5.0,4.0
-0.10204081632653061,-4.8979591836734695,4.0
-0.20408163265306123,-4.795918367346939,4.0
-0.30612244897959184,-4.6938775510204085,4.0
-0.40816326530612246,-4.591836734693878,4.0
-0.5102040816326531,-4.489795918367347,4.0
-0.6122448979591837,-4.387755102040816,4.0
-0.7142857142857143,-4.285714285714286,4.0
-0.8163265306122449,-4.183673469387755,4.0
